iter	RMSE
563	595379.4637
564	595252.63
565	595163.1129
566	595096.821
567	594989.5911
568	594942.2584
569	594874.8767
570	594771.5437
571	594723.2265
572	594642.4038
573	594485.7107
574	594375.5938
575	594140.0233
576	594078.4613
577	593972.0129
578	593847.7061
579	593776.7398
580	593686.6666
581	593596.2463
582	593460.1921
583	593405.0906
584	593369.4285
585	593192.2462
586	593062.6524
587	592939.4405
588	592848.2874
589	592786.1572
590	592689.3294
591	592569.0873
592	592462.3063
593	592346.3315
594	592257.5089
595	591958.2629
596	591871.4397
597	591663.0173
598	591631.0863
599	591535.8494
